Comment, ,Measured, , , , , , , , ,Closure, , 
,#,Depth,INC,AZM,TVD,VS,DLS,NS,EW,Closure,Dir,Northing,Easting
,,(m),Deg,Deg,(m),(m),°/30 m,(m),(m),(m),Deg,(m),(m)
,1,.00,.00,.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4922630.02,2588616.80
Casing Guía,2,470.00,.00,.00,470.00,0.00,0.00,0.00,0.00,0.00,0.00,4922630.02,2588616.80
KOP,3,530.00,.00,.00,530.00,0.00,0.00,0.00,0.00,0.00,0.00,4922630.02,2588616.80
,4,560.00,1.90,98.89,559.99,0.50,1.90,-0.08,0.49,0.50,98.89,4922629.94,2588617.29
,5,590.00,3.80,98.89,589.96,1.99,1.90,-0.31,1.97,1.99,98.89,4922629.71,2588618.77
,6,620.00,5.70,98.89,619.85,4.47,1.90,-0.69,4.42,4.47,98.89,4922629.33,2588621.22
,7,650.00,7.60,98.89,649.65,7.95,1.90,-1.23,7.85,7.95,98.89,4922628.79,2588624.65
,8,680.00,9.50,98.89,679.31,12.41,1.90,-1.92,12.26,12.41,98.89,4922628.10,2588629.06
,9,710.00,11.40,98.89,708.81,17.85,1.90,-2.76,17.63,17.85,98.89,4922627.26,2588634.43
,10,740.00,13.30,98.89,738.12,24.26,1.90,-3.75,23.97,24.26,98.89,4922626.27,2588640.77
,11,770.00,15.20,98.89,767.19,31.65,1.90,-4.89,31.27,31.65,98.89,4922625.13,2588648.07
,12,800.00,17.10,98.89,796.01,39.99,1.90,-6.18,39.51,39.99,98.89,4922623.84,2588656.31
Fin curva,13,820.31,18.39,98.89,815.35,46.18,1.90,-7.14,45.63,46.18,98.89,4922622.88,2588662.43
Inicio Drop,14,1030.33,18.39,98.89,1014.65,112.43,0.00,-17.38,111.07,112.43,98.89,4922612.64,2588727.87
,15,1060.33,16.49,98.89,1043.27,121.41,1.90,-18.77,119.95,121.41,98.89,4922611.25,2588736.75
,16,1090.33,14.59,98.89,1072.17,129.45,1.90,-20.01,127.89,129.45,98.89,4922610.01,2588744.69
,17,1120.33,12.69,98.89,1101.33,136.52,1.90,-21.11,134.88,136.52,98.89,4922608.91,2588751.68
,18,1150.33,10.79,98.89,1130.70,142.62,1.90,-22.05,140.91,142.62,98.89,4922607.97,2588757.71
,19,1180.33,8.89,98.89,1160.25,147.75,1.90,-22.84,145.97,147.75,98.89,4922607.18,2588762.77
,20,1210.33,6.99,98.89,1189.97,151.89,1.90,-23.48,150.06,151.89,98.89,4922606.54,2588766.86
,21,1240.33,5.09,98.89,1219.80,155.04,1.90,-23.97,153.18,155.04,98.89,4922606.05,2588769.98
,22,1270.33,3.19,98.89,1249.72,157.21,1.90,-24.30,155.32,157.21,98.89,4922605.72,2588772.12
,23,1300.33,1.29,98.89,1279.69,158.38,1.90,-24.48,156.47,158.38,98.89,4922605.54,2588773.27
Verticalización,24,1320.63,.00,.00,1300.00,158.61,1.90,-24.52,156.70,158.61,98.89,4922605.50,2588773.50
Tope Zona Interés,25,1350.63,.00,.00,1330.00,158.61,0.00,-24.52,156.70,158.61,98.89,4922605.50,2588773.50
Base Zona Interés,26,1420.63,.00,.00,1400.00,158.61,0.00,-24.52,156.70,158.61,98.89,4922605.50,2588773.50
Profundidad final,27,1470.63,.00,.00,1450.00,158.61,0.00,-24.52,156.70,158.61,98.89,4922605.50,2588773.50
